year,stage,venue,date_time,summary,team1,score1,team2,score2
2014,,"MATCH 29
Barabati Stadium, Cuttack
MAY, WED 7 , 8:00 pm IST",,PUNJAB KINGS WON BY 44 RUNS,Punjab Kings,231/4,Chennai Super Kings,187/6
2014,,"MATCH 28
Arun Jaitley Stadium, Delhi
MAY, WED 7 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,Delhi Daredevils,160/5,Kolkata Knight Riders,161/2
2014,,"MATCH 27
Wankhede Stadium, Mumbai
MAY, TUE 6 , 8:00 pm IST",,MUMBAI INDIANS WON BY 19 RUNS,Mumbai Indians,187/5,Royal Challengers Bangalore,168/8
2014,,"MATCH 26
Arun Jaitley Stadium, Delhi
MAY, MON 5 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 8 WICKETS,Delhi Daredevils,178/5,Chennai Super Kings,181/2
2014,,"MATCH 25
Narendra Modi Stadium, Ahmedabad
MAY, MON 5 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 10 RUNS,Rajasthan Royals,170/6,Kolkata Knight Riders,160/6
2014,,"MATCH 24
M. Chinnaswamy Stadium, Bengaluru
MAY, SUN 4 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 4 WICKETS,Royal Challengers Bangalore,158/6,Sunrisers Hyderabad,155/6
2014,,"MATCH 23
Arun Jaitley Stadium, Delhi
MAY, SAT 3 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Delhi Daredevils,152/5,Rajasthan Royals,156/3
2014,,"MATCH 22
Wankhede Stadium, Mumbai
MAY, SAT 3 , 4:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,170/5,Punjab Kings,168/5
2014,,"MATCH 21
JSCA International Cricket Stadium, Ranchi
MAY, FRI 2 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 34 RUNS,Chennai Super Kings,148/3,Kolkata Knight Riders,114/9
2014,,"MATCH 20
Dubai International Cricket Stadium, Dubai
APR, WED 30 , 6:30 pm IST",,SUNRISERS HYDERABAD WON BY 15 RUNS,Mumbai Indians,157/7,Sunrisers Hyderabad,172/5
2014,,"MATCH 19
Sheikh Zayed Cricket Stadium, Abu Dhabi
APR, TUE 29 , 6:30 pm IST",,MATCH TIED (RAJASTHAN ROYALS WON SUPER OVER),Kolkata Knight Riders,152/8,Rajasthan Royals,152/5
2014,,"MATCH 18
Dubai International Cricket Stadium, Dubai
APR, MON 28 , 6:30 pm IST",,PUNJAB KINGS WON BY 5 WICKETS,Punjab Kings,127/5,Royal Challengers Bangalore,124/8
2014,,"MATCH 17
Sharjah Cricket Stadium, Sharjah
APR, SUN 27 , 6:30 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Sunrisers Hyderabad,145/5,Chennai Super Kings,146/5
2014,,"MATCH 16
Sharjah Cricket Stadium, Sharjah
APR, SUN 27 , 2:30 pm IST",,DELHI DAREDEVILS WON BY 6 WICKETS,Delhi Daredevils,126/4,Mumbai Indians,125/6
2014,,"MATCH 15
Sheikh Zayed Cricket Stadium, Abu Dhabi
APR, SAT 26 , 6:30 pm IST",,PUNJAB KINGS WON BY 23 RUNS,Kolkata Knight Riders,109,Punjab Kings,132/9
2014,,"MATCH 14
Sheikh Zayed Cricket Stadium, Abu Dhabi
APR, SAT 26 , 2:30 pm IST",,RAJASTHAN ROYALS WON BY 6 WICKETS,Rajasthan Royals,71/4,Royal Challengers Bangalore,70
2014,,"MATCH 13
Dubai International Cricket Stadium, Dubai
APR, FRI 25 , 6:30 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Chennai Super Kings,142/3,Mumbai Indians,141/7
2014,,"MATCH 12
Dubai International Cricket Stadium, Dubai
APR, FRI 25 , 2:30 pm IST",,SUNRISERS HYDERABAD WON BY 4 RUNS,Sunrisers Hyderabad,184/1,Delhi Daredevils,180/4
2014,,"MATCH 11
Sharjah Cricket Stadium, Sharjah
APR, THU 24 , 6:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 2 RUNS,Royal Challengers Bangalore,148/5,Kolkata Knight Riders,150/7
2014,,"MATCH 10
Dubai International Cricket Stadium, Dubai
APR, WED 23 , 6:30 pm IST",,CHENNAI SUPER KINGS WON BY 7 RUNS,Rajasthan Royals,133,Chennai Super Kings,140/6
2014,,"MATCH 9
Sharjah Cricket Stadium, Sharjah
APR, TUE 22 , 6:30 pm IST",,PUNJAB KINGS WON BY 72 RUNS,Punjab Kings,193/6,Sunrisers Hyderabad,121
2014,,"MATCH 8
Sheikh Zayed Cricket Stadium, Abu Dhabi
APR, MON 21 , 6:30 pm IST",,CHENNAI SUPER KINGS WON BY 93 RUNS,Chennai Super Kings,177/7,Delhi Daredevils,84
2014,,"MATCH 7
Sharjah Cricket Stadium, Sharjah
APR, SUN 20 , 6:30 pm IST",,PUNJAB KINGS WON BY 7 WICKETS,Rajasthan Royals,191/5,Punjab Kings,193/3
2014,,"MATCH 6
Dubai International Cricket Stadium, Dubai
APR, SAT 19 , 6:30 pm IST",,DELHI DAREDEVILS WON BY 4 WICKETS,Kolkata Knight Riders,166/5,Delhi Daredevils,167/6
2014,,"MATCH 5
Dubai International Cricket Stadium, Dubai
APR, SAT 19 , 2:30 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore,116/3,Mumbai Indians,115/9
2014,,"MATCH 4
Sheikh Zayed Cricket Stadium, Abu Dhabi
APR, FRI 18 , 6:30 pm IST",,RAJASTHAN ROYALS WON BY 4 WICKETS,Sunrisers Hyderabad,133/6,Rajasthan Royals,135/6
2014,,"MATCH 3
Sheikh Zayed Cricket Stadium, Abu Dhabi
APR, FRI 18 , 2:30 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Chennai Super Kings,205/4,Punjab Kings,206/4
2014,,"MATCH 2
Sharjah Cricket Stadium, Sharjah
APR, THU 17 , 6:30 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,Delhi Daredevils,145/4,Royal Challengers Bangalore,146/2
2014,,"MATCH 1
Sheikh Zayed Cricket Stadium, Abu Dhabi
APR, WED 16 , 6:30 pm IST",,KOLKATA KNIGHT RIDERS WON BY 41 RUNS,Mumbai Indians,122/7,Kolkata Knight Riders,163/5
2015,,"MATCH 60
Eden Gardens, Kolkata
MAY, SUN 24 , 8:00 pm IST",,MUMBAI INDIANS WON BY 41 RUNS,Mumbai Indians,202/5,Chennai Super Kings,161/8
2015,,"MATCH 59
JSCA International Cricket Stadium, Ranchi
MAY, FRI 22 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 3 WICKETS,Chennai Super Kings,140/7,Royal Challengers Bangalore,139/8
2015,,"MATCH 58
Pune
MAY, WED 20 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 71 RUNS,Royal Challengers Bangalore,180/4,Rajasthan Royals,109
2015,,"MATCH 57
Wankhede Stadium, Mumbai
MAY, TUE 19 , 8:00 pm IST",,MUMBAI INDIANS WON BY 25 RUNS,Chennai Super Kings,162,Mumbai Indians,187/6
2015,,"MATCH 56
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SUN 17 , 8:00 pm IST",,MUMBAI INDIANS WON BY 9 WICKETS,Sunrisers Hyderabad,113,Mumbai Indians,114/1
2015,,"MATCH 55
M. Chinnaswamy Stadium, Bengaluru
MAY, SUN 17 , 4:00 pm IST",,NO RESULT,Royal Challengers Bangalore,Feb-00,Delhi Daredevils,187/5
2015,,"MATCH 54
Brabourne Stadium, Mumbai
MAY, SAT 16 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 9 RUNS,Rajasthan Royals,199/6,Kolkata Knight Riders,190/9
2015,,"MATCH 53
IS Bindra Stadium, Mohali
MAY, SAT 16 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Punjab Kings,130/7,Chennai Super Kings,134/3
2015,,"MATCH 52
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, FRI 15 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS (D/L METHOD),Sunrisers Hyderabad,135/3,Royal Challengers Bangalore,83/4
2015,,"MATCH 51
Wankhede Stadium, Mumbai
MAY, THU 14 , 8:00 pm IST",,MUMBAI INDIANS WON BY 5 RUNS,Mumbai Indians,171/4,Kolkata Knight Riders,166/7
2015,,"MATCH 50
IS Bindra Stadium, Mohali
MAY, WED 13 , 8:00 pm IST",,PUNJAB KINGS WON BY 22 RUNS,Punjab Kings,106/6,Royal Challengers Bangalore,84/6
2015,,"MATCH 49
Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur
MAY, TUE 12 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 6 WICKETS,Delhi Daredevils,120/4,Chennai Super Kings,119/6
2015,,"MATCH 48
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, MON 11 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 5 RUNS,Sunrisers Hyderabad,185/5,Punjab Kings,180/7
2015,,"MATCH 47
M. A. Chidambaram Stadium, Chennai
MAY, SUN 10 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 12 RUNS,Chennai Super Kings,157/5,Rajasthan Royals,145/9
2015,,"MATCH 46
Wankhede Stadium, Mumbai
MAY, SUN 10 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 39 RUNS,Mumbai Indians,196/7,Royal Challengers Bangalore,235/1
2015,,"MATCH 45
Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur
MAY, SAT 9 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 6 RUNS,Delhi Daredevils,157/4,Sunrisers Hyderabad,163/4
2015,,"MATCH 44
Eden Gardens, Kolkata
MAY, SAT 9 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 1 WICKET,Kolkata Knight Riders,184/9,Punjab Kings,183/5
2015,,"MATCH 43
M. A. Chidambaram Stadium, Chennai
MAY, FRI 8 , 8:00 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Chennai Super Kings,158/5,Mumbai Indians,159/4
2015,,"MATCH 42
Eden Gardens, Kolkata
MAY, THU 7 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 13 RUNS,Kolkata Knight Riders,171/7,Delhi Daredevils,158/6
2015,,"MATCH 41
Brabourne Stadium, Mumbai
MAY, THU 7 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 7 RUNS,Rajasthan Royals,194/7,Sunrisers Hyderabad,201/4
2015,,"MATCH 40
M. Chinnaswamy Stadium, Bengaluru
MAY, WED 6 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 138 RUNS,Royal Challengers Bangalore,226/3,Punjab Kings,88
2015,,"MATCH 39
Wankhede Stadium, Mumbai
MAY, TUE 5 , 8:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,153/5,Delhi Daredevils,152/6
2015,,"MATCH 38
Eden Gardens, Kolkata
MAY, MON 4 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 35 RUNS,Kolkata Knight Riders,167/7,Sunrisers Hyderabad,132/9
2015,,"MATCH 37
M. A. Chidambaram Stadium, Chennai
MAY, MON 4 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 24 RUNS,Chennai Super Kings,148/9,Royal Challengers Bangalore,124
2015,,"MATCH 36
Brabourne Stadium, Mumbai
MAY, SUN 3 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 14 RUNS,Rajasthan Royals,189/2,Delhi Daredevils,175/7
2015,,"MATCH 35
IS Bindra Stadium, Mohali
MAY, SUN 3 , 4:00 pm IST",,MUMBAI INDIANS WON BY 23 RUNS,Punjab Kings,149/7,Mumbai Indians,172/3
2015,,"MATCH 34
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SAT 2 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 22 RUNS,Sunrisers Hyderabad,192/7,Chennai Super Kings,170/6
2015,,"MATCH 33
M. Chinnaswamy Stadium, Bengaluru
MAY, SAT 2 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore,115/3,Kolkata Knight Riders,111/4
2015,,"MATCH 32
Wankhede Stadium, Mumbai
MAY, FRI 1 , 8:00 pm IST",,MUMBAI INDIANS WON BY 8 RUNS,Mumbai Indians,187/5,Rajasthan Royals,179/7
2015,,"MATCH 31
Arun Jaitley Stadium, Delhi
MAY, FRI 1 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 9 WICKETS,Delhi Daredevils,119/1,Punjab Kings,118/8
2015,,"MATCH 30
Eden Gardens, Kolkata
APR, THU 30 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Kolkata Knight Riders,169/3,Chennai Super Kings,165/9
2015,,"MATCH 29
M. Chinnaswamy Stadium, Bengaluru
APR, WED 29 , 8:00 pm IST",,NO RESULT,Royal Challengers Bangalore,200/7,Rajasthan Royals,
2015,,"MATCH 28
M. A. Chidambaram Stadium, Chennai
APR, TUE 28 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 2 RUNS,Chennai Super Kings,134/6,Kolkata Knight Riders,132/9
2015,,"MATCH 27
IS Bindra Stadium, Mohali
APR, MON 27 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 20 RUNS,Punjab Kings,130/9,Sunrisers Hyderabad,150/6
2015,,"MATCH 26
Arun Jaitley Stadium, Delhi
APR, SUN 26 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 10 WICKETS,Delhi Daredevils,95,Royal Challengers Bangalore,99/0
2015,,"MATCH 25
Eden Gardens, Kolkata
APR, SUN 26 , 4:00 pm IST",,MATCH ABANDONED WITHOUT A BALL BOWLED,Kolkata Knight Riders,,Rajasthan Royals,
2015,,"MATCH 24
M. A. Chidambaram Stadium, Chennai
APR, SAT 25 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 97 RUNS,Chennai Super Kings,192/3,Punjab Kings,95/9
2015,,"MATCH 23
Wankhede Stadium, Mumbai
APR, SAT 25 , 4:00 pm IST",,MUMBAI INDIANS WON BY 20 RUNS,Mumbai Indians,157/8,Sunrisers Hyderabad,137/8
2015,,"MATCH 22
Narendra Modi Stadium, Ahmedabad
APR, FRI 24 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,Rajasthan Royals,130/9,Royal Challengers Bangalore,134/1
2015,,"MATCH 21
Arun Jaitley Stadium, Delhi
APR, THU 23 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 37 RUNS,Delhi Daredevils,190/4,Mumbai Indians,153/9
2015,,"MATCH 20
M. Chinnaswamy Stadium, Bengaluru
APR, WED 22 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 27 RUNS,Royal Challengers Bangalore,154/8,Chennai Super Kings,181/8
2015,,"MATCH 19
ACA-VDCA Stadium, Visakhapatnam
APR, WED 22 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 16 RUNS (D/L METHOD),Sunrisers Hyderabad,176/4,Kolkata Knight Riders,101/4
2015,,"MATCH 18
Narendra Modi Stadium, Ahmedabad
APR, TUE 21 , 8:00 pm IST",,MATCH TIED (KINGS XI PUNJAB WON SUPER OVER),Rajasthan Royals,191/6,Punjab Kings,191/6
2015,,"MATCH 17
Arun Jaitley Stadium, Delhi
APR, MON 20 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Delhi Daredevils,146/8,Kolkata Knight Riders,147/4
2015,,"MATCH 16
M. Chinnaswamy Stadium, Bengaluru
APR, SUN 19 , 8:00 pm IST",,MUMBAI INDIANS WON BY 18 RUNS,Royal Challengers Bangalore,191/7,Mumbai Indians,209/7
2015,,"MATCH 15
Narendra Modi Stadium, Ahmedabad
APR, SUN 19 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals,157/2,Chennai Super Kings,156/4
2015,,"MATCH 14
Pune
APR, SAT 18 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 4 WICKETS,Punjab Kings,155/9,Kolkata Knight Riders,159/6
2015,,"MATCH 13
ACA-VDCA Stadium, Visakhapatnam
APR, SAT 18 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 4 RUNS,Sunrisers Hyderabad,163/8,Delhi Daredevils,167/4
2015,,"MATCH 12
Wankhede Stadium, Mumbai
APR, FRI 17 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Mumbai Indians,183/7,Chennai Super Kings,189/4
2015,,"MATCH 11
ACA-VDCA Stadium, Visakhapatnam
APR, THU 16 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 6 WICKETS,Sunrisers Hyderabad,127/5,Rajasthan Royals,131/4
2015,,"MATCH 10
Pune
APR, WED 15 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 5 WICKETS,Punjab Kings,165/7,Delhi Daredevils,169/5
2015,,"MATCH 9
Narendra Modi Stadium, Ahmedabad
APR, TUE 14 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Rajasthan Royals,165/3,Mumbai Indians,164/5
2015,,"MATCH 8
M. Chinnaswamy Stadium, Bengaluru
APR, MON 13 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 8 WICKETS,Royal Challengers Bangalore,166,Sunrisers Hyderabad,172/2
2015,,"MATCH 7
Wankhede Stadium, Mumbai
APR, SUN 12 , 8:00 pm IST",,PUNJAB KINGS WON BY 18 RUNS,Mumbai Indians,159/7,Punjab Kings,177/5
2015,,"MATCH 6
Arun Jaitley Stadium, Delhi
APR, SUN 12 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 3 WICKETS,Delhi Daredevils,184/3,Rajasthan Royals,186/7
2015,,"MATCH 5
Eden Gardens, Kolkata
APR, SAT 11 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 3 WICKETS,Kolkata Knight Riders,177/6,Royal Challengers Bangalore,179/7
2015,,"MATCH 4
M. A. Chidambaram Stadium, Chennai
APR, SAT 11 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 45 RUNS,Chennai Super Kings,209/4,Sunrisers Hyderabad,164/6
2015,,"MATCH 3
Pune
APR, FRI 10 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 26 RUNS,Punjab Kings,136/8,Rajasthan Royals,162/7
2015,,"MATCH 2
M. A. Chidambaram Stadium, Chennai
APR, THU 9 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 1 RUN,Chennai Super Kings,150/7,Delhi Daredevils,149/9
2015,,"MATCH 1
Eden Gardens, Kolkata
APR, WED 8 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Kolkata Knight Riders,170/3,Mumbai Indians,168/3
2016,,"MATCH 60
M. Chinnaswamy Stadium, Bengaluru
MAY, SUN 29 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 8 RUNS,Royal Challengers Bangalore,200/7,Sunrisers Hyderabad,208/7
2016,,"MATCH 59
Arun Jaitley Stadium, Delhi
MAY, FRI 27 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 4 WICKETS,Gujarat Lions,162/7,Sunrisers Hyderabad,163/6
2016,,"MATCH 58
Arun Jaitley Stadium, Delhi
MAY, WED 25 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 22 RUNS,Sunrisers Hyderabad,162/8,Kolkata Knight Riders,140/8
2016,,"MATCH 57
M. Chinnaswamy Stadium, Bengaluru
MAY, TUE 24 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 4 WICKETS,Gujarat Lions,158,Royal Challengers Bangalore,159/6
2016,,"MATCH 56
Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur
MAY, SUN 22 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,Delhi Daredevils,138/8,Royal Challengers Bangalore,139/4
2016,,"MATCH 55
Eden Gardens, Kolkata
MAY, SUN 22 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 22 RUNS,Kolkata Knight Riders,171/6,Sunrisers Hyderabad,149/8
2016,,"MATCH 54
Green Park, Kanpur
MAY, SAT 21 , 8:00 pm IST",,GUJARAT LIONS WON BY 6 WICKETS,Gujarat Lions,173/4,Mumbai Indians,172/8
2016,,"MATCH 53
ACA-VDCA Stadium, Visakhapatnam
MAY, SAT 21 , 4:00 pm IST",,RISING PUNE SUPERGIANT WON BY 4 WICKETS,Rising Pune Supergiant,173/6,Punjab Kings,172/7
2016,,"MATCH 52
Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur
MAY, FRI 20 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 6 WICKETS,Delhi Daredevils,161/4,Sunrisers Hyderabad,158/7
2016,,"MATCH 51
Green Park, Kanpur
MAY, THU 19 , 8:00 pm IST",,GUJARAT LIONS WON BY 6 WICKETS,Gujarat Lions,125/4,Kolkata Knight Riders,124/8
2016,,"MATCH 50
M. Chinnaswamy Stadium, Bengaluru
MAY, WED 18 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 82 RUNS (D/L METHOD),Royal Challengers Bangalore,211/3,Punjab Kings,120/9
2016,,"MATCH 49
ACA-VDCA Stadium, Visakhapatnam
MAY, TUE 17 , 8:00 pm IST",,RISING PUNE SUPERGIANTS WON BY 19 RUNS (D/L METHOD),Rising Pune Supergiant,76/1,Delhi Daredevils,121/6
2016,,"MATCH 48
Eden Gardens, Kolkata
MAY, MON 16 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,Kolkata Knight Riders,183/5,Royal Challengers Bangalore,186/1
2016,,"MATCH 47
ACA-VDCA Stadium, Visakhapatnam
MAY, SUN 15 , 8:00 pm IST",,MUMBAI INDIANS WON BY 80 RUNS,Mumbai Indians,206/4,Delhi Daredevils,126
2016,,"MATCH 46
IS Bindra Stadium, Mohali
MAY, SUN 15 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 7 WICKETS,Punjab Kings,179/4,Sunrisers Hyderabad,180/3
2016,,"MATCH 45
Eden Gardens, Kolkata
MAY, SAT 14 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS (D/L METHOD),Kolkata Knight Riders,66/2,Rising Pune Supergiant,103/6
2016,,"MATCH 44
M. Chinnaswamy Stadium, Bengaluru
MAY, SAT 14 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 144 RUNS,Royal Challengers Bangalore,248/3,Gujarat Lions,104
2016,,"MATCH 43
ACA-VDCA Stadium, Visakhapatnam
MAY, FRI 13 , 8:00 pm IST",,PUNJAB KINGS WON BY 7 WICKETS,Mumbai Indians,124/9,Punjab Kings,127/3
2016,,"MATCH 42
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, THU 12 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 7 WICKETS,Sunrisers Hyderabad,146/8,Delhi Daredevils,150/3
2016,,"MATCH 41
M. Chinnaswamy Stadium, Bengaluru
MAY, WED 11 , 8:00 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Royal Challengers Bangalore,151/4,Mumbai Indians,153/4
2016,,"MATCH 40
ACA-VDCA Stadium, Visakhapatnam
MAY, TUE 10 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 4 RUNS,Rising Pune Supergiant,133/8,Sunrisers Hyderabad,137/8
2016,,"MATCH 39
IS Bindra Stadium, Mohali
MAY, MON 9 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 1 RUN,Punjab Kings,174/4,Royal Challengers Bangalore,175/6
2016,,"MATCH 38
Eden Gardens, Kolkata
MAY, SUN 8 , 8:00 pm IST",,GUJARAT LIONS WON BY 5 WICKETS,Kolkata Knight Riders,158/4,Gujarat Lions,164/5
2016,,"MATCH 37
ACA-VDCA Stadium, Visakhapatnam
MAY, SUN 8 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 85 RUNS,Mumbai Indians,92,Sunrisers Hyderabad,177/3
2016,,"MATCH 36
IS Bindra Stadium, Mohali
MAY, SAT 7 , 8:00 pm IST",,PUNJAB KINGS WON BY 9 RUNS,Punjab Kings,181/5,Delhi Daredevils,172/5
2016,,"MATCH 35
M. Chinnaswamy Stadium, Bengaluru
MAY, SAT 7 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore,195/3,Rising Pune Supergiant,191/6
2016,,"MATCH 34
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, FRI 6 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 5 WICKETS,Sunrisers Hyderabad,129/5,Gujarat Lions,126/6
2016,,"MATCH 33
Arun Jaitley Stadium, Delhi
MAY, THU 5 , 8:00 pm IST",,RISING PUNE SUPERGIANT WON BY 7 WICKETS,Delhi Daredevils,162/7,Rising Pune Supergiant,166/3
2016,,"MATCH 32
Eden Gardens, Kolkata
MAY, WED 4 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 RUNS,Kolkata Knight Riders,164/3,Punjab Kings,157/9
2016,,"MATCH 31
Saurashtra Cricket Association Stadium, Rajkot
MAY, TUE 3 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 8 WICKETS,Gujarat Lions,149/7,Delhi Daredevils,150/2
2016,,"MATCH 30
M. Chinnaswamy Stadium, Bengaluru
MAY, MON 2 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Royal Challengers Bangalore,185/7,Kolkata Knight Riders,189/5
2016,,"MATCH 29
Pune
MAY, SUN 1 , 8:00 pm IST",,MUMBAI INDIANS WON BY 8 WICKETS,Rising Pune Supergiant,159/5,Mumbai Indians,161/2
2016,,"MATCH 28
Saurashtra Cricket Association Stadium, Rajkot
MAY, SUN 1 , 4:00 pm IST",,PUNJAB KINGS WON BY 23 RUNS,Gujarat Lions,131/9,Punjab Kings,154
2016,,"MATCH 27
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SAT 30 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 15 RUNS,Sunrisers Hyderabad,194/5,Royal Challengers Bangalore,179/6
2016,,"MATCH 26
Arun Jaitley Stadium, Delhi
APR, SAT 30 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 27 RUNS,Delhi Daredevils,186/8,Kolkata Knight Riders,159
2016,,"MATCH 25
Pune
APR, FRI 29 , 8:00 pm IST",,GUJARAT LIONS WON BY 3 WICKETS,Rising Pune Supergiant,195/3,Gujarat Lions,196/7
2016,,"MATCH 24
Wankhede Stadium, Mumbai
APR, THU 28 , 8:00 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Mumbai Indians,178/4,Kolkata Knight Riders,174/5
2016,,"MATCH 23
Arun Jaitley Stadium, Delhi
APR, WED 27 , 8:00 pm IST",,GUJARAT LIONS WON BY 1 RUN,Delhi Daredevils,171/5,Gujarat Lions,172/6
2016,,"MATCH 22
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, TUE 26 , 8:00 pm IST",,RISING PUNE SUPERGIANTS WON BY 34 RUNS (D/L METHOD),Sunrisers Hyderabad,118/8,Rising Pune Supergiant,94/3
2016,,"MATCH 21
IS Bindra Stadium, Mohali
APR, MON 25 , 8:00 pm IST",,MUMBAI INDIANS WON BY 25 RUNS,Punjab Kings,164/7,Mumbai Indians,189/6
